Attack Surface Source,Attack Surface Target,Attack Vector,Database,ID,Related CWE,Related CAPEC,Related CVE,Contents
GPS,NMEA GPS,Counterfeit GPS Signals,CAPEC,627,['N/A'],['148'],['N/A'],"An adversary attempts to deceive a GPS receiver by broadcasting counterfeit GPS signals, structured to resemble a set of normal GPS signals. These spoofed signals may be structured in such a way as to cause the receiver to estimate its position to be somewhere other than where it actually is, or to be located where it is but at a different time, as determined by the adversary. The target must be relying on valid GPS signal to perform critical operations. High Low Spoofing GPS signals and having a target receiver use them is not a trivial task. High The ability to spoof GPS signals is not trival. Ability to create spoofed GPS signals. Integrity Modify application data 1000 Attack Pattern ChildOf 148 Mobile"
GPS,NMEA GPS,CVE-2014-9194,CVE,2014-9194,CWE-19,['N/A'],['N/A'],Arbiter 1094B GPS Substation Clock allows remote attackers to cause a denial of service (disruption) via crafted radio transmissions that spoof GPS satellite broadcasts.
GPS,NMEA GPS,CVE-2017-5239,CVE,2017-5239,CWE-326,['N/A'],['N/A'],"Due to a lack of standard encryption when transmitting sensitive information over the internet to a centralized monitoring service, the Eview EV-07S GPS Tracker discloses personally identifying information, such as GPS data and IMEI numbers, to any man-in-the-middle (MitM) listener."
GPS,NMEA GPS,CVE-2017-17098,CVE,2017-17098,CWE-94,['N/A'],['N/A'],"The writeLog function in fn_common.php in gps-server.net GPS Tracking Software (self hosted) through 3.0 allows remote attackers to inject arbitrary PHP code via a crafted request that is mishandled during admin log viewing, as demonstrated by <?php system($_GET[cmd]); ?> in a login request."
GPS,NMEA GPS,CVE-2016-6727,CVE,2016-6727,CWE-264,['N/A'],['N/A'],The Qualcomm GPS subsystem in Android on Android One devices allows remote attackers to execute arbitrary code.
GPS,NMEA GPS,Carry-Off GPS Attack,CAPEC,628,['N/A'],['627'],['N/A'],"A common form of a GPS spoofing attack, commonly termed a carry-off attack begins with an adversary broadcasting signals synchronized with the genuine signals observed by the target receiver. The power of the counterfeit signals is then gradually increased and drawn away from the genuine signals. Over time, the adversary can carry the target away from their intended destination and toward a location chosen by the adversary. The target must be relying on valid GPS signal to perform critical operations. High Low Spoofing GPS signals and having a target receiver use them is not a trival task. A ""proof-of-concept"" attack was successfully performed in June, 2013, when the luxury yacht ""White Rose"" was misdirected with spoofed GPS signals from Monaco to the island of Rhodes by a group of aerospace engineering students from the Cockrell School of Engineering at the University of Texas in Austin. The students were aboard the yacht, allowing their spoofing equipment to gradually overpower the signal strengths of the actual GPS constellation satellites, altering the course of the yacht. High Other 1000 Attack Pattern ChildOf 627 Mobile Wikipedia GPS Spooking The Wikimedia Foundation, Inc https://en.wikipedia.org/wiki/Spoofing_attack#GPS_Spoofing"
GPS,NMEA GPS,CVE-2016-5341,CVE,2016-5341,CWE-284,['N/A'],['N/A'],"The GPS component in Android before 2016-12-05 allows man-in-the-middle attackers to cause a denial of service (GPS signal-acquisition delay) via an incorrect xtra.bin or xtra2.bin file on a spoofed Qualcomm gpsonextra.net or izatcloud.net host, aka internal bug 31470303 and external bug 211602 (and AndroidID-7225554)."
GPS,NMEA GPS,CVE-2017-17097,CVE,2017-17097,CWE-640,['N/A'],['N/A'],"gps-server.net GPS Tracking Software (self hosted) 2.x has a password reset procedure that immediately resets passwords upon an unauthenticated request, and then sends e-mail with a predictable (date-based) password to the admin, which makes it easier for remote attackers to obtain access by predicting this new password. This is related to the use of gmdate for password creation in fn_connect.php."
GPS,NMEA GPS,CVE-2003-0360,CVE,2003-0360,N/A,['N/A'],['N/A'],Multiple buffer overflows in gPS before 1.0.0 allow attackers to cause a denial of service and possibly execute arbitrary code.
GPS,NMEA GPS,CVE-2014-9969,CVE,2014-9969,CWE-327,['N/A'],['N/A'],"In all Qualcomm products with Android releases from CAF using the Linux kernel, the GPS client may use an insecure cryptographic algorithm."
